Zones,Kx,Kz
1,0,0
2,300,6
3,0,0
4,0,0
5,0,0
6,2.1955,0.0271
7,0,0
8,0,0
9,16,0.586831
10,0,0
11,0.000764835,1.09E-05
12,0.0004,4.00E-06
13,0.901142,0.000204601
14,2.60769,0.007749032
15,0.02674525,0.00014283
16,0.00024,1.30E-05
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,1.3507,0.04340576
24,0,0
25,0,0
26,0.076,0.001756614
27,0,0
28,1.7,0.00113333
29,1.7466,0.02279727
30,5.35,0.267921
31,2.10127,0.04617961
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,2.4,0.024
38,1.48826,0.06929432
39,0,0
40,8.4,0.024
41,5.3,0.172
42,0.004,3.19E-05
43,0.6,0.004
44,2.4,0.05056685
45,6,0.001583341
46,8.6,0.05733
47,2.89911,0.03644219
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,2.52832,0.04354507
74,118.907,0.76846
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,2.52707,0.04351164
84,117.95,0.768455
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
