Layer,row,col,flux
0,145,20,0
0,69,23,0
0,24,28,0
0,55,29,0
0,76,29,0
0,94,30,-88
0,94,32,-88
0,165,33,0
0,89,35,0
0,89,35,-8816
0,95,35,-1924
0,95,36,-5771
0,94,37,-39
0,51,40,0
0,50,40,0
0,50,41,0
0,175,43,-481
0,178,45,-310
0,47,46,0
0,144,46,0
0,144,46,0
0,143,47,0
0,52,47,-105
0,45,48,-31722
0,45,48,-16284
0,146,51,-49609
0,146,51,0
0,146,54,-28069
0,144,55,-22495
0,173,69,0
0,24,71,-6
0,127,73,0
0,83,74,0
0,153,75,0
0,154,75,0
0,84,76,0
0,182,76,-791
0,147,76,-112242
0,147,76,-112242
0,147,76,0
0,76,79,0
0,76,79,0
0,76,79,0
0,76,79,0
0,76,79,0
0,156,79,0
0,175,82,0
0,147,84,-43486
0,31,85,-62
0,146,87,0
0,22,88,0
0,147,88,-53236
0,147,88,-1692
0,145,88,-924
0,145,88,-1420
0,82,88,0
0,122,95,-11
0,122,95,0
0,91,97,0
0,91,97,0
0,92,98,0
0,89,105,-15
0,197,109,0
0,103,111,-59204
0,103,112,-59204
0,101,112,-59204
0,105,114,0
0,105,114,0
0,106,114,0
0,106,114,0
0,5,116,0
0,122,117,0
0,99,117,0
0,99,118,-109951
0,156,118,0
0,97,119,0
0,99,119,-109951
0,96,119,-109951
0,99,119,0
0,17,120,0
0,16,120,0
0,16,120,0
0,17,120,-8851
0,164,124,0
0,201,124,0
0,118,125,0
0,118,125,0
0,188,125,0
0,195,126,0
0,194,126,0
0,194,126,0
0,195,127,0
0,175,127,0
0,175,127,0
0,163,128,0
0,187,129,-363
0,194,129,0
0,188,130,-363
0,146,130,0
0,92,130,0
0,113,131,-11324
0,52,131,-252
0,195,131,0
0,195,131,0
0,195,131,0
0,124,132,-806
0,124,132,-2120
0,167,134,0
0,172,134,-23167
0,88,134,0
0,88,134,0
0,88,134,0
0,122,134,-175
0,110,135,-1164
0,179,136,-91810
0,188,139,-105
0,186,139,-1397
0,150,139,-9878
0,75,140,-2560
0,75,141,-2259
0,75,141,-583
0,151,141,-15179
0,187,143,-59556
0,43,145,-1377
0,73,146,-40868
0,73,146,0
0,203,147,-74658
0,51,148,-1046
0,72,148,-1963
0,124,149,-616
0,182,150,-41402
0,63,150,-1102
0,123,150,0
0,123,150,0
0,63,150,-650
0,70,150,0
0,197,151,-55309
0,162,151,-75089
0,188,152,-2793
0,188,152,-14
0,94,154,-1925
0,73,156,0
0,143,157,-1242
0,71,159,0
0,159,161,-35514
0,73,161,-12288
0,84,161,-217
0,19,162,0
0,154,163,0
0,155,164,0
0,113,164,-28290
0,113,164,-27458
0,3,166,-14839
0,178,167,0
0,163,169,0
0,139,169,-7653
0,145,169,-102200
0,145,169,-53056
0,96,170,-510
0,135,171,0
0,165,172,-39736
0,64,172,-1185
0,117,173,0
0,150,173,0
0,150,173,0
0,150,173,0
0,10,175,-13241
0,14,175,0
0,186,176,-26632
0,186,177,0
0,146,177,-44
0,17,178,-14132
0,193,178,0
0,29,179,0
0,29,179,-17
0,66,179,0
0,65,179,-12492
0,143,179,-55588
0,152,180,0
0,74,180,-1224
0,89,180,-58594
0,64,180,-18651
0,64,180,0
0,63,180,0
0,63,180,-1352
0,125,181,0
0,89,181,-74383
0,175,182,0
0,175,182,0
0,138,182,0
0,168,182,0
0,161,182,-8162
0,66,183,-40509
0,84,183,0
0,129,183,0
0,85,184,0
0,130,184,0
0,129,184,0
0,129,184,0
0,129,184,0
0,79,185,0
0,79,185,-65
0,168,185,-67
0,168,185,0
0,140,186,0
0,71,186,-1721
0,71,186,-2072
0,71,187,-655
0,25,187,0
0,160,188,0
0,188,189,0
0,201,189,-84773
0,203,190,-39744
0,200,190,-7379
0,159,190,-151
0,28,192,-2942
0,179,193,-46830
0,90,193,0
0,99,193,-22101
0,99,193,-43063
0,103,193,0
0,173,194,-68105
0,27,194,0
0,107,195,-81
0,160,196,0
0,176,197,0
0,168,198,-51262
0,62,198,0
0,89,199,-478
0,173,200,0
0,31,200,-3638
0,35,200,0
0,35,200,0
0,35,200,-33846
0,35,200,-33846
0,173,200,-12523
0,111,201,0
0,110,201,0
0,110,201,-133
0,53,201,0
0,53,201,0
0,106,203,0
0,128,203,0
0,32,203,0
0,32,203,0
0,32,203,0
0,32,203,0
0,69,204,-567
0,81,204,-11335
0,173,204,-35400
0,32,204,0
0,68,205,0
0,172,205,-26739
0,134,205,-27458
0,55,205,-241
0,136,206,-3880
0,136,206,-1940
0,133,206,-51
0,91,206,0
0,32,206,0
0,32,206,0
0,32,206,0
0,101,207,-160
0,111,209,0
0,36,209,0
0,52,209,-738
0,102,209,0
0,102,209,0
0,102,209,0
0,65,210,-21317
0,107,210,0
0,104,210,0
0,103,210,0
0,103,210,0
0,109,211,0
0,108,211,0
0,124,211,-4763
0,123,211,-3468
0,106,211,0
0,119,212,0
0,119,212,0
0,104,214,0
0,78,214,-148
0,78,214,-458
0,101,214,0
0,104,216,0
0,104,216,0
0,129,216,-13570
0,129,216,-12129
0,128,216,0
0,127,216,0
0,127,216,0
0,10,217,0
0,100,218,0
0,100,218,0
0,80,219,0
0,53,219,-30960
0,53,219,-364
0,94,221,-5916
0,94,221,-5916
0,23,221,0
0,39,222,-1
0,36,222,-3791
0,35,222,0
0,35,222,0
0,35,222,0
0,129,222,0
0,131,223,0
0,34,223,0
0,56,224,0
0,90,224,-89
0,20,224,0
0,35,224,0
0,40,225,-177
0,40,225,-20872
0,102,225,-10045
0,126,225,0
0,108,118,0
